OutcomeId,StreakCount,MaxStreak,Ratio,IsCorrect
4,0,0,0,1
5,2,2,1,0
1,2,2,1,0
2,2,2,1,0
3,0,0,0,1
4,0,1,0,0
5,2,2,1,0
1,1,1,1,1
2,0,1,0,0
3,2,2,1,0
4,0,1,0,0
5,2,2,1,0
1,2,2,1,0
2,2,2,1,0
3,0,0,0,1
4,2,2,1,0
5,2,2,1,0
1,0,0,0,1
2,2,2,1,0
3,2,2,1,0
4,0,0,0,0
5,2,2,1,0
1,1,1,1,0
2,2,2,1,0
3,0,1,0,1
4,2,2,1,0
5,1,1,1,0
1,0,1,0,1
2,1,1,1,0
3,2,2,1,0
4,0,1,0,0
5,2,2,1,0
1,2,2,1,1
2,2,2,1,0
3,0,0,0,0
4,0,0,0,0
5,2,2,1,1
1,0,1,0,0
2,1,1,1,0
3,2,2,1,1
4,2,2,1,0
5,1,1,1,1
1,1,1,1,0
2,0,1,0,1
3,2,2,1,0
4,2,2,1,0
5,2,2,1,0
1,0,1,0,0
2,2,2,1,1
3,1,1,1,0
4,0,1,0,0
5,2,2,1,0
1,1,1,1,1
2,1,1,1,0
3,0,0,0,0
4,0,0,0,0
5,1,1,1,0
1,1,1,1,0
2,0,0,0,0
3,1,1,1,1
4,1,1,1,0
5,1,1,1,0
1,1,1,1,0
2,1,1,1,0
3,0,0,0,1
4,1,1,1,1
5,1,1,1,0
1,0,0,0,1
2,1,1,1,0
3,1,1,1,0
4,1,1,1,1
5,1,1,1,0
1,1,1,1,0
2,1,1,1,0
3,0,0,0,1
4,1,1,1,1
5,1,1,1,0
1,0,0,0,1
2,1,1,1,0
3,1,1,1,0
4,1,1,1,1
5,1,1,1,0
1,1,1,1,0
2,1,1,1,0
3,0,0,0,1
4,0,0,0,1
5,1,1,1,0
1,1,1,1,1
2,1,1,1,0
3,0,0,0,0
4,0,0,0,1
5,1,1,1,0
1,0,0,0,0
2,1,1,1,0
3,1,1,1,1
4,0,0,0,0
5,1,1,1,1
1,0,0,0,1
2,1,1,1,0
3,1,1,1,0
4,0,0,0,0
5,1,1,1,1
1,0,0,0,1
2,1,1,1,0
3,1,1,1,0
4,1,1,1,0
5,1,1,1,0
1,1,1,1,0
2,1,1,1,0
3,0,0,0,1
4,1,1,1,0
5,1,1,1,0
1,0,1,0,0
2,1,1,1,1
3,2,2,1,0
4,0,1,0,1
5,1,1,1,0
1,0,1,0,0
2,1,1,1,1
3,2,2,1,0
4,1,1,1,1
5,2,2,1,0
1,0,1,0,0
2,2,2,1,0
3,1,1,1,1
4,1,1,1,0
5,0,1,0,1
1,2,2,1,1
2,1,1,1,0
3,0,1,0,0
4,2,2,1,0
5,2,2,1,1
1,2,2,1,1
2,1,1,1,0
3,0,1,0,0
4,1,1,1,0
5,0,1,0,1
1,0,1,0,0
2,1,1,1,0
3,2,2,1,1
4,2,2,1,0
5,1,1,1,1
1,1,1,1,1
2,2,2,1,0
3,0,1,0,0
4,0,1,0,0
5,2,2,1,1
1,2,2,1,0
2,0,1,0,0
3,1,1,1,1
4,2,2,1,0
5,1,1,1,1
1,1,1,1,1
2,0,0,0,0
3,1,1,1,0
4,1,1,1,1
5,1,1,1,0
1,0,0,0,0
2,1,1,1,0
3,1,1,1,1
4,1,1,1,1
5,1,1,1,0
1,1,1,1,1
2,1,1,1,0
3,0,0,0,0
4,1,1,1,1
5,1,1,1,0
1,1,1,1,0
2,1,1,1,0
3,0,0,0,1
4,1,1,1,1
5,1,1,1,0
1,2,2,1,0
2,2,2,1,0
3,0,0,0,1
4,2,2,1,0
5,2,2,1,0
1,0,0,0,1
2,2,2,1,0
3,2,2,1,0
4,1,1,1,0
5,0,1,0,0
1,2,2,1,1
2,0,2,0,0
3,1,1,1,0
4,0,0,0,0
5,3,3,1,0
1,1,1,1,0
2,0,2,0,0
3,2,2,1,1
4,1,1,1,0
5,3,3,1,0
1,1,1,1,0
2,2,2,1,1
3,0,2,0,0
4,3,3,1,0
5,0,1,0,0
1,1,1,1,0
2,3,3,1,1
3,0,1,0,0
4,2,2,1,0
5,0,1,0,0
1,0,2,0,0
2,3,3,1,1
3,1,1,1,0
4,1,1,1,0
5,0,2,0,0
1,0,2,0,0
2,2,2,1,1
3,1,1,1,0
4,2,2,1,0
5,0,1,0,0
1,2,2,1,0
2,3,3,1,1
3,0,1,0,0
4,3,3,1,0
5,2,2,1,0
1,1,1,1,0
2,2,2,1,1
3,0,2,0,0
4,3,3,1,0
5,0,1,0,0
1,1,1,1,0
2,0,1,0,0
3,3,3,1,1
4,0,1,0,1
5,2,2,1,0
1,0,1,0,1
2,2,2,1,0
3,3,3,1,0
4,1,1,1,1
5,3,3,1,0
1,3,3,1,0
2,3,3,1,0
3,0,0,0,1
4,1,1,1,1
5,3,3,1,0
1,0,0,0,1
2,3,3,1,0
3,3,3,1,0
4,1,1,1,1
5,3,3,1,0
1,3,3,1,1
2,0,0,0,0
3,3,3,1,0
4,0,1,0,0
5,2,2,1,0
1,2,2,1,0
2,0,1,0,0
3,3,3,1,1
4,3,3,1,0
5,3,3,1,0
1,3,3,1,0
2,1,1,1,1
3,0,1,0,0
4,3,3,1,1
5,0,1,0,0
1,0,1,0,0
2,1,1,1,1
3,3,3,1,0
4,1,1,1,1
5,3,3,1,0
1,1,1,1,0
2,2,2,1,1
3,0,1,0,0
4,2,2,1,0
5,2,2,1,1
1,0,1,0,0
2,2,2,1,1
3,1,1,1,0
4,0,0,0,0
5,2,2,1,1
1,2,2,1,0
2,1,1,1,1
3,0,1,0,0
4,2,2,1,0
5,2,2,1,0
1,0,0,0,0
2,2,2,1,1
3,2,2,1,0
4,0,1,0,0
5,2,2,1,0
1,0,1,0,0
2,1,1,1,0
3,2,2,1,1
4,0,1,0,1
5,2,2,1,0
1,2,2,1,1
2,2,2,1,0
3,0,0,0,0
4,0,1,0,1
5,2,2,1,0
1,2,2,1,0
2,2,2,1,0
3,0,0,0,1
4,0,1,0,0
5,2,2,1,0
1,0,1,0,1
2,2,2,1,0
3,1,1,1,0
4,0,1,0,0
5,2,2,1,0
1,0,1,0,1
2,2,2,1,0
3,1,1,1,0
4,1,1,1,0
5,2,2,1,0
1,2,2,1,0
2,2,2,1,0
3,0,0,0,1
4,0,1,0,0
5,2,2,1,0
1,0,0,0,0
2,2,2,1,1
3,2,2,1,0
4,2,2,1,1
5,2,2,1,0
1,1,1,1,0
2,2,2,1,1
3,0,1,0,0
4,0,1,0,1
5,2,2,1,0
1,1,1,1,0
2,0,1,0,1
3,3,3,1,0
4,0,1,0,0
5,3,3,1,1
1,0,2,0,0
2,2,2,1,1
3,1,1,1,0
4,3,3,1,0
5,0,2,0,1
1,0,0,0,0
2,2,2,1,0
3,2,2,1,1
4,1,1,1,0
5,2,2,1,0
1,0,0,0,1
2,2,2,1,0
3,2,2,1,0
4,0,1,0,0
5,2,2,1,0
1,2,2,1,1
2,2,2,1,0
3,0,0,0,0
4,0,0,0,0
5,2,2,1,1
1,1,1,1,0
2,2,2,1,0
3,0,1,0,1
4,1,1,1,0
5,0,1,0,1
1,0,1,0,0
2,3,3,1,0
3,1,1,1,1
4,1,1,1,0
5,0,2,0,0
1,3,3,1,1
2,3,3,1,0
3,0,0,0,0
4,3,3,1,0
5,3,3,1,0
1,0,1,0,1
2,3,3,1,0
3,2,2,1,0
4,2,2,1,0
5,3,3,1,1
1,0,2,0,0
2,3,3,1,0
3,1,1,1,1
4,0,1,0,0
5,3,3,1,1
1,3,3,1,0
2,1,1,1,0
3,0,3,0,1
4,4,4,1,1
5,4,4,1,0
1,2,2,1,1
2,0,2,0,0
3,1,2,0.5,0
4,4,4,1,1
5,1,1,1,0
1,1,2,0.5,0
2,0,2,0,1
3,2,2,1,0
4,3,3,1,0
5,1,1,1,0
1,0,1,0,0
2,3,3,1,1
3,4,4,1,0
4,0,1,0,0
5,4,4,1,0
1,4,4,1,0
2,0,1,0,0
3,1,1,1,1
4,0,3,0,0
5,1,1,1,1
1,2,2,1,1
2,1,2,0.5,0
3,0,2,0,0
4,2,2,1,0
5,4,4,1,1
1,2,2,1,0
2,0,1,0,0
3,4,4,1,1
4,1,1,1,1
5,0,3,0,0
1,2,2,1,1
2,0,3,0,0
3,1,1,1,0
4,3,3,1,1
5,1,1,1,0
1,4,4,1,0
2,4,4,1,1
3,0,0,0,0
4,0,1,0,0
5,4,4,1,0
1,0,3,0,0
2,4,4,1,1
3,1,1,1,0
4,4,4,1,0
5,4,4,1,0
1,0,3,0,0
2,1,1,1,1
3,4,4,1,0
4,1,1,1,0
5,3,3,1,0
1,3,3,1,0
2,0,3,0,1
3,1,1,1,0
4,4,4,1,0
5,3,3,1,0
1,2,2,1,0
2,1,1,1,1
3,0,3,0,0
4,0,1,0,0
5,3,3,1,0
1,1,1,1,0
2,4,4,1,1
3,0,1,0,0
4,2,2,1,0
5,1,2,0.5,0
1,1,1,1,0
2,3,3,1,1
3,0,2,0,0
4,2,2,1,1
5,3,3,1,0
1,0,0,0,0
2,3,3,1,1
3,3,3,1,0
4,2,2,1,1
5,1,1,1,0
1,1,1,1,0
2,0,2,0,0
3,2,2,1,1
4,1,1,1,0
5,0,2,0,0
1,0,0,0,1
2,3,3,1,0
3,3,3,1,0
4,1,1,1,0
5,3,3,1,0
1,3,3,1,1
2,3,3,1,0
3,0,0,0,0
4,1,1,1,0
5,3,3,1,0
1,1,1,1,0
2,0,2,0,0
3,3,3,1,1
4,0,2,0,0
5,3,3,1,0
1,2,2,1,0
2,0,2,0,1
3,1,1,1,0
4,3,3,1,0
5,0,2,0,1
1,0,2,0,0
2,3,3,1,1
3,1,1,1,0
4,1,1,1,0
5,0,2,0,1
1,1,1,1,0
2,2,2,1,0
3,0,2,0,1
4,0,1,0,1
5,3,3,1,0
1,3,3,1,1
2,3,3,1,0
3,0,0,0,0
4,1,1,1,1
5,3,3,1,0
1,1,2,0.5,0
2,0,3,0,0
3,2,2,1,1
4,2,2,1,0
5,1,2,0.5,0
1,2,2,1,1
2,0,2,0,0
3,1,2,0.5,0
4,4,4,1,0
5,1,1,1,0
1,0,2,0,0
2,1,2,0.5,0
3,2,2,1,1
4,1,1,1,1
5,4,4,1,0
1,0,0,0,1
2,4,4,1,0
3,4,4,1,0
4,0,1,0,1
5,4,4,1,0
1,1,2,0.5,0
2,0,2,0,0
3,2,2,1,1
4,4,4,1,1
5,0,2,0,0
1,1,1,1,1
2,0,1,0,0
3,4,4,1,0
4,0,1,0,1
5,4,4,1,0
1,3,3,1,0
2,0,1,0,1
3,1,1,1,0
4,3,3,1,0
5,3,3,1,1
1,2,2,1,0
2,0,2,0,1
3,1,1,1,0
4,0,1,0,0
5,3,3,1,1
1,2,2,1,0
2,3,3,1,1
3,0,1,0,0
4,2,2,1,0
5,0,1,0,0
1,1,1,1,0
2,0,2,0,1
3,3,3,1,0
4,1,1,1,0
5,3,3,1,0
1,3,3,1,0
2,3,3,1,0
3,0,0,0,1
4,3,3,1,1
5,3,3,1,0
1,0,1,0,1
2,3,3,1,0
3,2,2,1,0
4,1,1,1,1
5,3,3,1,0
1,1,2,0.5,0
2,0,3,0,0
3,2,2,1,1
4,2,2,1,0
5,0,2,0,0
1,0,0,0,1
2,4,4,1,0
3,4,4,1,0
4,2,2,1,0
5,4,4,1,0
1,3,3,1,1
2,0,2,0,0
3,2,2,1,0
4,4,4,1,0
5,0,2,0,0
1,1,1,1,0
2,0,3,0,0
3,4,4,1,1
4,0,2,0,0
5,2,2,1,0
1,2,2,1,1
2,1,2,0.5,0
3,0,3,0,0
4,1,2,0.5,1
5,4,4,1,0
1,2,2,1,0
2,1,2,0.5,0
3,0,2,0,1
4,2,2,1,1
5,1,2,0.5,0
1,3,3,1,1
2,0,3,0,0
3,1,1,1,0
4,3,3,1,0
5,1,1,1,0
1,2,2,1,0
2,3,3,1,0
3,0,2,0,1
4,0,1,0,0
5,4,4,1,0
1,1,2,0.5,0
2,4,4,1,0
3,0,1,0,1
4,1,1,1,0
5,0,3,0,0
1,3,3,1,1
2,0,2,0,0
3,2,2,1,0
4,1,1,1,0
5,0,3,0,0
1,4,4,1,1
2,0,1,0,0
3,2,2,1,0
4,4,4,1,0
5,0,3,0,0
1,0,3,0,0
2,4,4,1,0
3,1,1,1,1
4,0,1,0,0
5,4,4,1,0
1,0,3,0,1
2,4,4,1,0
3,1,1,1,0
4,2,2,1,1
5,4,4,1,0
1,2,2,1,0
2,0,2,0,0
3,4,4,1,1
4,2,2,1,1
5,4,4,1,0
1,2,2,1,0
2,0,3,0,0
3,1,2,0.5,1
4,0,2,0,1
5,4,4,1,0
1,0,1,0,1
2,4,4,1,0
3,3,3,1,0
4,0,1,0,1
5,4,4,1,0
1,0,1,0,0
2,4,4,1,0
3,3,3,1,1
4,3,3,1,0
5,0,3,0,0
1,4,4,1,1
2,4,4,1,0
3,0,0,0,0
4,0,3,0,0
5,4,4,1,0
1,2,2,1,0
2,1,3,0.333,1
3,0,2,0,0
4,3,3,1,0
5,1,2,0.5,0
1,2,2,1,0
2,1,3,0.333,1
3,0,4,0,0
4,1,2,0.5,0
5,3,3,1,0
1,1,2,0.5,0
2,2,2,1,0
3,0,2,0,1
4,0,1,0,0
5,5,5,1,0
1,4,4,1,1
2,0,3,0,0
3,2,2,1,0
4,5,5,1,0
5,4,4,1,0
1,2,2,1,0
2,1,3,0.333,1
3,0,2,0,0
4,3,3,1,0
5,2,2,1,1
1,3,3,1,0
2,1,1,1,1
3,0,4,0,0
4,0,1,0,0
5,1,3,0.333,1
1,0,2,0,1
2,1,3,0.333,0
3,2,2,1,0
4,0,3,0,1
5,2,2,1,0
1,1,1,1,0
2,0,3,0,0
3,5,5,1,1
4,1,1,1,1
5,5,5,1,0
1,2,2,1,0
2,0,2,0,1
3,3,3,1,0
4,4,4,1,1
5,2,2,1,0
1,2,2,1,0
2,1,2,0.5,1
3,0,2,0,0
4,0,4,0,1
5,1,2,0.5,0
1,1,3,0.333,0
2,0,1,0,1
3,5,5,1,0
4,2,2,1,0
5,4,4,1,1
1,5,5,1,0
2,1,1,1,1
3,0,1,0,0
4,1,3,0.333,0
5,0,1,0,1
1,0,2,0,1
2,1,2,0.5,0
3,2,2,1,0
4,5,5,1,0
5,2,2,1,1
1,0,0,0,0
2,5,5,1,0
3,5,5,1,1
4,0,1,0,0
5,5,5,1,1
1,5,5,1,1
2,0,4,0,0
3,1,1,1,0
4,1,1,1,0
5,5,5,1,1
1,0,2,0,0
2,1,2,0.5,0
3,2,2,1,1
4,0,4,0,0
5,2,2,1,1
1,0,3,0,0
2,1,3,0.333,0
3,2,2,1,1
4,4,4,1,1
5,2,2,1,0
1,0,1,0,1
2,5,5,1,0
3,4,4,1,0
4,0,1,0,1
5,5,5,1,0
1,0,3,0,0
2,1,2,0.5,0
3,3,3,1,1
4,5,5,1,0
5,1,2,0.5,0
1,0,0,0,1
2,5,5,1,0
3,5,5,1,0
4,3,3,1,0
5,5,5,1,0
1,0,3,0,1
2,1,2,0.5,0
3,3,3,1,0
4,2,2,1,1
5,1,3,0.333,0
1,1,3,0.333,0
2,5,5,1,0
3,0,1,0,1
4,1,1,1,1
5,5,5,1,0
1,3,3,1,0
2,4,4,1,1
3,0,2,0,0
4,1,1,1,1
5,5,5,1,0
1,0,4,0,0
2,5,5,1,1
3,1,1,1,0
4,1,3,0.333,1
5,5,5,1,0
1,0,4,0,0
2,1,1,1,0
3,3,3,1,1
4,5,5,1,0
5,1,3,0.333,0
1,2,2,1,1
2,5,5,1,0
3,0,1,0,0
4,2,2,1,0
5,1,3,0.333,0
1,3,3,1,0
2,1,2,0.5,0
3,0,4,0,1
4,0,2,0,1
5,5,5,1,0
1,3,3,1,1
2,2,2,1,0
3,0,2,0,0
4,0,2,0,1
5,2,2,1,0
1,1,3,0.333,1
2,0,4,0,0
3,2,2,1,0
4,5,5,1,0
5,5,5,1,0
1,0,2,0,0
2,2,2,1,0
3,1,2,0.5,1
4,3,3,1,0
5,0,4,0,0
1,2,2,1,1
2,0,4,0,0
3,1,1,1,0
4,3,3,1,0
5,2,2,1,0
1,4,4,1,0
2,2,2,1,0
3,0,3,0,1
4,0,4,0,0
5,5,5,1,0
1,3,3,1,0
2,0,1,0,1
3,1,3,0.333,0
4,1,1,1,1
5,4,4,1,0
1,0,1,0,0
2,1,1,1,1
3,5,5,1,0
4,0,1,0,1
5,5,5,1,0
1,3,3,1,0
2,1,3,0.333,0
3,0,2,0,1
4,0,2,0,0
5,5,5,1,1
1,0,2,0,1
2,2,2,1,0
3,1,3,0.333,0
4,0,2,0,0
5,5,5,1,1
1,0,3,0,1
2,5,5,1,0
3,2,2,1,0
4,0,2,0,0
5,5,5,1,0
1,1,1,1,0
2,5,5,1,0
3,0,3,0,1
4,4,4,1,0
5,1,3,0.333,0
1,1,3,0.333,1
2,2,3,0.667,0
3,0,2,0,0
4,0,4,0,0
5,3,3,1,1
1,0,2,0,0
2,3,3,1,0
3,2,3,0.667,1
4,1,2,0.5,0
5,0,5,0,1
1,0,3,0,1
2,1,4,0.25,0
3,3,3,1,0
4,6,6,1,0
5,6,6,1,1
1,0,4,0,0
2,1,3,0.333,0
3,3,3,1,1
4,6,6,1,0
5,5,5,1,1
1,0,2,0,0
2,1,4,0.25,0
3,2,2,1,1
4,4,4,1,0
5,3,3,1,0
1,1,2,0.5,1
2,2,2,1,0
3,0,2,0,0
4,1,4,0.25,0
5,0,2,0,0
1,4,4,1,0
2,0,1,0,0
3,1,4,0.25,1
4,1,1,1,0
5,0,3,0,0
1,6,6,1,1
2,0,1,0,0
3,1,1,1,0
4,2,3,0.667,0
5,0,1,0,0
1,3,3,1,0
2,0,2,0,1
3,4,4,1,0
4,0,4,0,0
5,3,3,1,1
1,1,1,1,0
2,0,1,0,1
3,6,6,1,0
4,0,1,0,0
5,6,6,1,1
1,4,4,1,0
2,0,1,0,1
3,2,3,0.667,0
4,0,1,0,0
5,5,5,1,0
1,0,2,0,0
2,2,3,0.667,1
3,3,3,1,0
4,0,3,0,0
5,3,3,1,0
1,2,3,0.667,0
2,0,1,0,1
3,6,6,1,0
4,3,3,1,0
5,0,4,0,0
1,0,5,0,0
2,1,4,0.25,1
3,2,2,1,0
4,2,2,1,0
5,0,5,0,0
1,3,3,1,1
2,0,3,0,0
3,1,2,0.5,0
4,4,4,1,0
5,0,2,0,0
1,5,5,1,0
2,3,3,1,0
3,0,3,0,1
4,1,4,0.25,0
5,6,6,1,0
1,3,3,1,0
2,0,3,0,0
3,1,4,0.25,1
4,2,2,1,1
5,4,4,1,0
1,0,0,0,1
2,6,6,1,0
3,6,6,1,0
4,4,4,1,1
5,6,6,1,0
1,1,4,0.25,1
2,2,2,1,0
3,0,3,0,0
4,6,6,1,0
5,2,3,0.667,0
1,1,4,0.25,0
2,0,5,0,0
3,2,2,1,1
4,0,3,0,0
5,6,6,1,0
1,4,4,1,0
2,2,3,0.667,0
3,0,2,0,1
4,1,2,0.5,0
5,0,5,0,0
1,4,4,1,1
2,2,2,1,0
3,0,4,0,0
4,0,2,0,0
5,6,6,1,0
1,3,3,1,0
2,0,3,0,0
3,1,2,0.5,1
4,4,4,1,1
5,2,2,1,0
1,2,2,1,1
2,6,6,1,0
3,0,3,0,0
4,5,5,1,1
5,2,3,0.667,0
1,0,3,0,0
2,6,6,1,1
3,3,3,1,0
4,1,2,0.5,0
5,6,6,1,0
1,4,4,1,0
2,0,4,0,1
3,1,2,0.5,0
4,0,1,0,0
5,6,6,1,0
1,2,2,1,1
2,3,3,1,0
3,0,2,0,0
4,1,1,1,0
5,6,6,1,0
1,3,3,1,0
2,0,2,0,0
3,1,2,0.5,1
4,0,4,0,0
5,2,2,1,0
1,1,1,1,1
2,6,6,1,0
3,0,5,0,0
4,1,1,1,0
5,0,5,0,0
1,2,2,1,0
2,1,3,0.333,0
3,0,5,0,1
4,0,1,0,0
5,6,6,1,0
1,0,2,0,1
2,2,2,1,0
3,3,3,1,0
4,6,6,1,0
5,0,2,0,0
1,1,2,0.5,0
2,3,3,1,0
3,0,2,0,1
4,4,4,1,0
5,1,4,0.25,0
1,1,3,0.333,0
2,2,2,1,0
3,0,3,0,1
4,6,6,1,0
5,2,2,1,0
1,0,1,0,1
2,6,6,1,0
3,5,5,1,0
4,0,1,0,0
5,6,6,1,0
1,0,2,0,1
2,6,6,1,0
3,1,1,1,0
4,3,3,1,0
5,2,3,0.667,0
1,2,3,0.667,0
2,6,6,1,0
3,0,1,0,1
4,0,1,0,0
5,6,6,1,0
1,0,3,0,0
2,3,3,1,1
3,1,2,0.5,0
4,0,2,0,1
5,3,3,1,0
1,0,3,0,0
2,2,2,1,1
3,4,4,1,0
4,0,2,0,1
5,2,3,0.667,0
1,4,4,1,0
2,1,3,0.333,0
3,0,2,0,1
4,0,4,0,0
5,3,3,1,0
1,0,1,0,1
2,7,7,1,0
3,6,6,1,0
4,1,1,1,0
5,7,7,1,0
1,5,5,1,1
2,0,1,0,0
3,3,3,1,0
4,1,1,1,0
5,6,6,1,0
1,0,3,0,0
2,2,4,0.5,0
3,4,4,1,1
4,7,7,1,0
5,0,6,0,0
1,5,5,1,0
2,1,1,1,0
3,0,4,0,1
4,2,2,1,0
5,1,3,0.333,0
1,3,3,1,1
2,2,3,0.667,0
3,0,5,0,0
4,1,1,1,0
5,7,7,1,0
1,1,5,0.2,0
2,0,4,0,1
3,3,3,1,0
4,3,3,1,0
5,1,5,0.2,0
1,6,6,1,0
2,4,4,1,1
3,0,3,0,0
4,2,4,0.5,0
5,7,7,1,0
1,1,2,0.5,0
2,0,3,0,1
3,4,4,1,0
4,1,3,0.333,1
5,4,4,1,0
1,2,2,1,0
2,0,1,0,1
3,7,7,1,0
4,1,1,1,1
5,0,6,0,0
1,3,3,1,0
2,0,1,0,0
3,7,7,1,1
4,4,4,1,0
5,1,4,0.25,0
1,0,2,0,1
2,3,3,1,0
3,1,2,0.5,0
4,2,4,0.5,0
5,1,2,0.5,0
1,1,2,0.5,0
2,2,4,0.5,1
3,0,2,0,0
4,5,5,1,0
5,4,4,1,1
1,0,1,0,0
2,7,7,1,1
3,1,5,0.2,0
4,2,2,1,0
5,1,5,0.2,1
1,0,3,0,0
2,1,3,0.333,1
3,2,2,1,0
4,5,5,1,1
5,1,2,0.5,0
1,2,2,1,0
2,4,4,1,1
3,0,2,0,0
4,5,5,1,1
5,2,4,0.5,0
1,0,2,0,0
2,7,7,1,0
3,1,3,0.333,1
4,0,5,0,0
5,3,3,1,0
1,1,3,0.333,1
2,0,3,0,0
3,2,2,1,0
4,0,2,0,0
5,4,4,1,0
1,0,3,0,1
2,3,3,1,0
3,1,2,0.5,0
4,1,4,0.25,1
5,0,3,0,0
1,0,4,0,0
2,3,3,1,0
3,1,3,0.333,1
4,7,7,1,1
5,3,3,1,0
1,0,4,0,1
2,3,3,1,0
3,1,4,0.25,0
4,1,2,0.5,0
5,7,7,1,1
1,0,0,0,0
2,7,7,1,0
3,7,7,1,1
4,0,4,0,0
5,7,7,1,1
1,2,4,0.5,0
2,1,5,0.2,1
3,0,2,0,0
4,1,3,0.333,1
5,7,7,1,0
1,3,3,1,0
2,7,7,1,1
3,0,1,0,0
4,1,1,1,1
5,7,7,1,0
1,1,3,0.333,0
2,0,6,0,0
3,4,4,1,1
4,2,2,1,1
5,7,7,1,0
1,1,3,0.333,1
2,0,2,0,0
3,5,5,1,0
4,0,2,0,1
5,3,3,1,0
1,2,3,0.667,1
2,3,3,1,0
3,0,3,0,0
4,7,7,1,0
5,3,3,1,0
1,1,2,0.5,0
2,4,4,1,0
3,0,3,0,1
4,2,2,1,0
5,0,5,0,0
1,0,6,0,1
2,1,1,1,0
3,2,2,1,0
4,3,3,1,0
5,1,1,1,0
1,4,4,1,0
2,1,2,0.5,0
3,0,2,0,1
4,1,4,0.25,0
5,3,3,1,0
1,0,2,0,0
2,4,4,1,0
3,1,2,0.5,1
4,2,2,1,1
5,7,7,1,0
1,0,2,0,1
2,3,3,1,0
3,4,4,1,0
4,7,7,1,1
5,1,2,0.5,0
1,5,5,1,0
2,0,4,0,0
3,2,2,1,1
4,1,1,1,1
5,7,7,1,0
1,4,4,1,1
2,1,3,0.333,0
3,0,4,0,0
4,0,2,0,1
5,5,5,1,0
1,5,5,1,0
2,3,3,1,0
3,0,2,0,1
4,2,2,1,0
5,1,5,0.2,0
1,0,2,0,1
2,7,7,1,0
3,2,2,1,0
4,4,4,1,0
5,3,3,1,0
1,4,4,1,0
2,0,2,0,1
3,5,5,1,0
4,1,4,0.25,0
5,0,3,0,1
1,1,4,0.25,0
2,2,3,0.667,1
3,0,3,0,0
4,7,7,1,0
5,0,5,0,1
1,0,3,0,0
2,4,4,1,1
3,1,3,0.333,0
4,8,8,1,0
5,4,4,1,1
1,0,4,0,0
2,4,4,1,1
3,2,4,0.5,0
4,2,2,1,0
5,0,7,0,1
1,0,5,0,0
2,1,1,1,1
3,4,4,1,0
4,2,2,1,0
5,7,7,1,0
1,1,3,0.333,0
2,0,3,0,1
3,3,3,1,0
4,0,5,0,0
5,2,2,1,0
1,2,2,1,0
2,0,4,0,0
3,1,2,0.5,1
4,6,6,1,0
5,0,4,0,1
1,5,5,1,1
2,0,2,0,0
3,6,6,1,0
4,2,4,0.5,0
5,0,3,0,1
1,4,4,1,0
2,1,1,1,0
3,0,7,0,1
4,5,5,1,0
5,2,4,0.5,0
1,2,2,1,1
2,0,3,0,0
